                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.83017,                0.55055,                0.90946,                0.03649,                0.01562,                0.00347,                0.00109,                 4.2713,                 9.3489,                 2.9257,              0.0014456,              0.0014456,              0.0014456
                     86,                0.96196,                0.64602,                0.90751,                0.03195,                0.01562,                0.00217,                 0.0013,                 4.2088,                 9.6099,                 2.9875,               0.001439,               0.001439,               0.001439
                     87,                0.89477,                0.60806,                0.94544,                0.03194,                0.01562,                0.00376,                0.00144,                 4.0191,                 10.201,                 2.9223,              0.0014324,              0.0014324,              0.0014324
                     88,                0.79546,                 0.5845,                0.92989,                0.04266,                0.01562,                0.00191,                0.00095,                 4.0542,                  10.46,                 2.9571,              0.0014258,              0.0014258,              0.0014258
                     89,                 0.9536,                0.61806,                 0.9312,                0.04094,                0.01562,                0.00198,                0.00119,                 3.8373,                 10.478,                 3.0672,              0.0014192,              0.0014192,              0.0014192
                     90,                0.97959,                0.61265,                0.93786,                0.05498,                0.01562,                0.00273,                0.00109,                 3.9333,                 9.6475,                 3.1806,              0.0014126,              0.0014126,              0.0014126
                     91,                0.83382,                0.58361,                 0.8992,                0.04524,                0.01562,                0.00271,                0.00142,                 3.9455,                  11.69,                 2.9305,               0.001406,               0.001406,               0.001406
                     92,                0.84804,                0.57363,                0.87304,                0.02983,                0.01562,                 0.0013,                0.00039,                 3.9427,                 11.713,                 2.7917,              0.0013994,              0.0013994,              0.0013994
                     93,                 0.8332,                0.60214,                0.90076,                0.03381,                0.01562,                0.00131,                0.00039,                 3.9214,                 10.199,                 2.6002,              0.0013928,              0.0013928,              0.0013928
                     94,                0.84923,                0.57964,                0.90737,                0.03613,                0.01562,                0.00182,                0.00073,                 3.8532,                  9.882,                 2.4772,              0.0013862,              0.0013862,              0.0013862
                     95,                0.83161,                0.62464,                0.96539,                0.03627,                0.01562,                0.00157,                0.00072,                 4.0259,                 10.726,                 2.5693,              0.0013796,              0.0013796,              0.0013796
                     96,                0.81811,                0.56964,                0.88312,                0.05203,                0.01562,                0.00259,                0.00074,                 4.2878,                  9.607,                 2.7489,               0.001373,               0.001373,               0.001373
                     97,                 1.0023,                0.68621,                0.90471,                0.05167,                0.01562,                0.00255,                0.00073,                 4.0964,                 10.644,                 2.8964,              0.0013664,              0.0013664,              0.0013664
                     98,                0.89872,                0.65374,                0.97387,                0.07314,                0.01562,                0.00545,                0.00109,                 4.0521,                 10.897,                 2.9449,              0.0013598,              0.0013598,              0.0013598
                     99,                0.95647,                0.61752,                0.91111,                0.07938,                0.01562,                0.00793,                0.00238,                 4.1207,                 11.279,                 2.8113,              0.0013532,              0.0013532,              0.0013532
                    100,                0.88574,                0.61729,                0.90712,                0.09043,                0.01562,                0.01558,                0.00623,                 4.4114,                 10.927,                 2.9684,              0.0013466,              0.0013466,              0.0013466
                    101,                0.97623,                0.64876,                0.92939,                0.25995,                0.01562,                 0.0159,                0.00636,                 4.3459,                 12.211,                 2.9603,                0.00134,                0.00134,                0.00134
                    102,                0.87986,                0.59545,                0.90887,                0.10025,                0.01562,                0.01601,                0.00641,                 4.3183,                 13.526,                 3.0957,              0.0013334,              0.0013334,              0.0013334
                    103,                0.87239,                0.58918,                0.93256,                0.11156,                0.01562,                0.00837,                0.00251,                 4.2542,                 12.289,                 3.0853,              0.0013268,              0.0013268,              0.0013268
                    104,                0.85771,                0.56914,                0.91004,                0.36005,                0.01562,                0.00831,                0.00249,                 4.5291,                 10.407,                 3.5559,              0.0013202,              0.0013202,              0.0013202
                    105,                0.78109,                0.53067,                 0.8863,                0.37811,                0.01562,                0.00817,                0.00245,                  4.419,                 10.464,                 3.3218,              0.0013136,              0.0013136,              0.0013136
                    106,                0.85542,                0.54669,                0.91397,                0.10765,                0.01562,                0.00571,                0.00171,                 4.3745,                 10.316,                 2.8967,               0.001307,               0.001307,               0.001307
                    107,                0.89002,                0.54323,                 0.8791,                0.06798,                0.01562,                0.00346,                0.00104,                 4.4358,                 10.738,                 2.8211,              0.0013004,              0.0013004,              0.0013004
                    108,                0.77606,                0.56414,                0.82727,                0.05718,                0.01562,                0.00393,                0.00118,                 4.5256,                 12.773,                 3.1842,              0.0012938,              0.0012938,              0.0012938
                    109,                0.91422,                0.68231,                0.93277,                0.10081,                0.01562,                0.00546,                0.00273,                 4.5855,                 13.753,                 3.3094,              0.0012872,              0.0012872,              0.0012872
                    110,                0.76406,                0.54833,                0.88805,                0.09907,                0.01562,                0.00501,                0.00201,                 3.9845,                 10.702,                 2.8998,              0.0012806,              0.0012806,              0.0012806
                    111,                0.86673,                0.59823,                0.92508,                0.11364,                0.01562,                0.01008,                0.00329,                 4.3109,                 12.001,                 2.9913,               0.001274,               0.001274,               0.001274
                    112,                0.88566,                0.61413,                0.94416,                0.09666,                0.01562,                0.00858,                0.00423,                 4.1102,                 9.9604,                 2.8112,              0.0012674,              0.0012674,              0.0012674
                    113,                0.77152,                  0.545,                0.92022,                0.10733,                0.01562,                0.01615,                0.00941,                 4.1966,                 10.547,                 2.9508,              0.0012608,              0.0012608,              0.0012608
                    114,                0.82777,                0.52966,                0.92065,                0.10262,                0.01562,                0.01566,                0.00783,                 4.3387,                 10.937,                 2.8924,              0.0012542,              0.0012542,              0.0012542
                    115,                 0.8633,                0.61106,                0.91204,                 0.0586,                0.01562,                0.00443,                0.00177,                 4.3934,                 11.621,                 2.8488,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.0942,                0.70444,                0.95952,                0.04097,                0.01562,                0.00216,                0.00086,                 4.4139,                 13.011,                  2.798,               0.001241,               0.001241,               0.001241
                    117,                0.80648,                0.56725,                0.93021,                0.03881,                0.01562,                0.00209,                0.00084,                 4.2979,                 12.264,                 2.8066,              0.0012344,              0.0012344,              0.0012344
                    118,                0.87175,                0.60165,                0.92607,                0.03984,                0.01562,                0.00325,                 0.0013,                  3.859,                 10.203,                 2.6586,              0.0012278,              0.0012278,              0.0012278
                    119,                0.83535,                0.55078,                0.87382,                0.03333,                0.01562,                0.00161,                 0.0008,                 3.9051,                 11.475,                 2.8101,              0.0012212,              0.0012212,              0.0012212
                    120,                0.84861,                 0.5541,                0.91872,                0.03022,                0.01562,                0.00127,                0.00063,                 3.8971,                 13.869,                 2.9869,              0.0012146,              0.0012146,              0.0012146
                    121,                0.79876,                0.54539,                0.93241,                 0.0324,                0.01562,                0.00135,                0.00065,                 3.8843,                 12.445,                 2.7839,               0.001208,               0.001208,               0.001208
                    122,                0.77996,                0.57661,                0.92972,                 0.1271,                0.01562,                0.00819,                0.00328,                  3.718,                 11.149,                 2.5579,              0.0012014,              0.0012014,              0.0012014
                    123,                0.80114,                0.49952,                0.91436,                0.08512,                0.01562,                0.00435,                0.00183,                 3.7984,                 11.567,                 2.6525,              0.0011948,              0.0011948,              0.0011948
                    124,                0.84194,                0.58921,                0.89727,                0.04763,                0.01562,                0.00246,                0.00172,                 4.0725,                 11.723,                 2.8301,              0.0011882,              0.0011882,              0.0011882
                    125,                0.88637,                 0.7052,                0.87131,                0.08105,                0.01562,                 0.0059,                0.00413,                 3.9621,                 10.154,                 2.9582,              0.0011816,              0.0011816,              0.0011816
                    126,                0.97687,                 0.6997,                0.90271,                0.10403,                0.01562,                0.00559,                0.00336,                 4.3537,                 9.7221,                 3.1707,               0.001175,               0.001175,               0.001175
                    127,                 0.8122,                0.50298,                0.89504,                0.04085,                0.01562,                0.00161,                0.00115,                 4.3584,                 9.3055,                 2.9864,              0.0011684,              0.0011684,              0.0011684
                    128,                 0.7066,                0.48741,                0.84245,                0.02938,                0.01562,                0.00092,                0.00056,                 4.3072,                 9.7592,                 2.8367,              0.0011618,              0.0011618,              0.0011618
                    129,                0.85202,                0.54356,                 0.9041,                0.03022,                0.01562,                0.00108,                0.00068,                 4.2631,                 9.9187,                 2.7512,              0.0011552,              0.0011552,              0.0011552
                    130,                0.79236,                0.58329,                0.84348,                0.05082,                0.01562,                  0.003,                 0.0021,                  4.143,                 9.3663,                  2.757,              0.0011486,              0.0011486,              0.0011486
                    131,                0.95532,                0.61149,                0.92085,                0.30376,                0.01562,                 0.0156,                0.01092,                 4.0727,                  9.041,                  2.657,               0.001142,               0.001142,               0.001142
                    132,                0.74322,                 0.5432,                0.86562,                0.20224,                0.01562,                0.00806,                0.00564,                 3.9501,                  9.679,                 2.5832,              0.0011354,              0.0011354,              0.0011354
                    133,                0.79866,                0.52457,                0.89904,                0.09519,                0.01562,                0.00808,                0.00343,                 3.8925,                 10.335,                 2.5677,              0.0011288,              0.0011288,              0.0011288
                    134,                0.99122,                0.60407,                0.87289,                0.06114,                0.01562,                0.00373,                0.00163,                 4.1352,                  10.92,                 2.7244,              0.0011222,              0.0011222,              0.0011222
                    135,                0.79159,                0.54957,                0.93305,                0.10212,                0.01562,                0.00594,                 0.0022,                 4.0955,                 10.721,                 2.7359,              0.0011156,              0.0011156,              0.0011156
                    136,                0.75979,                0.53178,                0.89851,                0.07873,                0.01562,                0.00598,                0.00299,                 4.0086,                   11.4,                 3.0364,               0.001109,               0.001109,               0.001109
                    137,                 0.7771,                0.50775,                0.90745,                0.07207,                0.01562,                0.00399,                  0.002,                 4.0745,                 11.816,                 3.0928,              0.0011024,              0.0011024,              0.0011024
                    138,                0.82367,                0.66302,                0.88539,                0.05966,                0.01562,                0.00353,                0.00166,                  4.107,                 11.877,                 3.0478,              0.0010958,              0.0010958,              0.0010958
                    139,                0.80582,                0.50058,                0.84546,                0.05091,                0.01562,                 0.0036,                0.00135,                 4.3463,                 11.206,                 2.9741,              0.0010892,              0.0010892,              0.0010892
                    140,                0.78271,                0.53901,                0.92303,                 0.0365,                0.01562,                0.00239,                0.00111,                 4.4319,                 11.633,                 2.9655,              0.0010826,              0.0010826,              0.0010826
                    141,                0.75512,                 0.4971,                0.89359,                0.03581,                0.01562,                0.00219,                0.00121,                 4.3462,                   11.2,                 2.8702,               0.001076,               0.001076,               0.001076
                    142,                  0.778,                0.52725,                0.89924,                0.04156,                0.01562,                 0.0024,                 0.0012,                 4.1056,                 11.049,                 2.9373,              0.0010694,              0.0010694,              0.0010694
                    143,                0.78328,                  0.506,                0.88152,                0.03752,                0.01562,                0.00281,                 0.0014,                  4.112,                 11.559,                 2.8876,              0.0010628,              0.0010628,              0.0010628
                    144,                0.73873,                0.49938,                0.91833,                 0.0438,                0.01562,                0.00369,                0.00185,                 4.0899,                 10.673,                 2.8462,              0.0010562,              0.0010562,              0.0010562
                    145,                0.71381,                  0.483,                0.86163,                0.05242,                0.01562,                0.00471,                0.00235,                 4.0382,                 10.322,                 2.8499,              0.0010496,              0.0010496,              0.0010496
                    146,                0.74333,                0.48922,                0.86282,                0.05513,                0.01562,                0.00366,                0.00183,                 3.9403,                 10.628,                 2.9019,               0.001043,               0.001043,               0.001043
                    147,                0.86575,                0.53426,                0.87642,                  0.045,                0.01562,                0.00257,                0.00128,                 4.4314,                 13.073,                 3.0668,              0.0010364,              0.0010364,              0.0010364
                    148,                0.77164,                0.53101,                0.90721,                0.04526,                0.01562,                0.00296,                0.00148,                 4.2079,                 12.303,                 2.9282,              0.0010298,              0.0010298,              0.0010298
                    149,                0.74292,                0.52081,                0.89574,                0.06197,                0.01562,                0.00681,                0.00408,                  4.005,                 10.915,                 2.8847,              0.0010232,              0.0010232,              0.0010232
                    150,                0.83243,                0.51869,                0.90227,                 0.0952,                0.01562,                0.00896,                0.00538,                 3.9672,                 10.355,                 2.7277,              0.0010166,              0.0010166,              0.0010166
                    151,                0.70063,                0.49781,                0.86866,                0.17392,                0.01562,                0.00886,                0.00531,                 4.0743,                 9.8369,                 2.7752,                0.00101,                0.00101,                0.00101
                    152,                0.75675,                0.53873,                0.91583,                0.32496,                0.01562,                 0.0164,                 0.0082,                 4.0548,                 10.091,                 2.7777,              0.0010034,              0.0010034,              0.0010034
                    153,                0.90389,                0.56772,                0.96475,                0.49981,                0.01562,                0.01651,                0.00991,                 4.0339,                 9.7266,                 2.7707,              0.0009968,              0.0009968,              0.0009968
