                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1612,                0.87453,                 1.0411,                0.02274,                0.01562,                0.00067,                0.00013,                 4.1481,                 9.3046,                 2.6008,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2397,                0.90672,                  1.006,                0.03706,                0.01562,                0.00138,                0.00014,                 3.9939,                 8.8466,                  2.727,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1247,                0.84275,                 1.0399,                0.04204,                0.01562,                0.00119,                0.00048,                 4.0845,                 9.1593,                  2.759,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.3076,                 1.1026,                 1.0232,                0.05691,                0.01562,                 0.0017,                0.00042,                  4.119,                 8.3725,                 2.6062,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.106,                0.85956,                0.98671,                0.00759,                0.01562,                0.00038,                  8e-05,                 3.9321,                 9.9905,                 2.7384,              0.0012278,              0.0012278,              0.0012278
                     80,                  1.147,                0.91673,                0.97878,                0.03139,                0.01562,                0.00101,                0.00017,                 3.9676,                 9.2014,                 2.7678,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.0538,                0.78438,                0.98452,                0.04604,                0.01562,                0.00192,                0.00048,                 3.8477,                 7.5218,                 2.5874,               0.001208,               0.001208,               0.001208
                     82,                 1.1566,                0.90707,                0.95556,                0.02911,                0.01562,                0.00118,                0.00023,                 3.9265,                 8.1455,                 2.7158,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2092,                0.92703,                0.98903,                0.02969,                0.01562,                0.00093,                0.00019,                 3.9484,                 8.4141,                 2.7748,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.0662,                0.80781,                0.95336,                0.04715,                0.01562,                 0.0016,                0.00048,                 3.7674,                 7.7024,                 2.5231,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.0212,                0.80668,                0.96759,                0.04437,                0.01562,                0.00169,                0.00062,                 3.6725,                 7.4424,                 2.5025,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.0943,                0.88991,                0.95704,                0.04873,                0.01562,                0.00184,                0.00087,                 3.8297,                 7.7731,                 2.5923,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.0198,                0.79326,                 1.0103,                0.03076,                0.01562,                0.00096,                0.00029,                 3.8659,                 8.6447,                 2.5724,              0.0011486,              0.0011486,              0.0011486
                     88,                0.96853,                0.74389,                 1.0029,                0.03455,                0.01562,                0.00104,                0.00026,                 4.0705,                 8.9812,                 2.7059,              0.0011387,              0.0011387,              0.0011387
                     89,                  1.132,                0.85162,                 1.0004,                0.03937,                0.01562,                0.00132,                0.00031,                 4.0604,                  8.149,                 2.7154,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.1633,                0.82927,                 1.0065,                0.02482,                0.01562,                0.00083,                0.00025,                 4.0245,                 7.8412,                 2.8143,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.0055,                 0.7675,                0.94899,                 0.0285,                0.01562,                0.00083,                0.00022,                 4.0289,                 9.2339,                 2.7495,               0.001109,               0.001109,               0.001109
                     92,                0.99261,                0.70228,                0.93655,                0.02358,                0.01562,                0.00076,                0.00023,                 3.9977,                 10.229,                 2.7285,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.0181,                0.81243,                 0.9556,                 0.0269,                0.01562,                0.00078,                0.00024,                  3.947,                  9.523,                 2.7403,              0.0010892,              0.0010892,              0.0010892
                     94,                0.99854,                0.76551,                0.97627,                 0.0736,                0.01562,                0.00311,                0.00062,                 3.9988,                   8.19,                  2.922,              0.0010793,              0.0010793,              0.0010793
                     95,                0.94337,                0.76823,                 1.0047,                0.13827,                0.01562,                 0.0058,                0.00116,                 4.2001,                 9.5047,                  2.966,              0.0010694,              0.0010694,              0.0010694
                     96,                0.93355,                0.70634,                0.93242,                0.04268,                0.01562,                0.00166,                0.00033,                 3.9868,                 9.4388,                  2.844,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.0992,                 0.7785,                 0.9472,                0.03413,                0.01562,                0.00132,                0.00026,                 4.0921,                 9.7078,                   2.76,              0.0010496,              0.0010496,              0.0010496
                     98,                0.97124,                0.82908,                 0.9943,                0.03772,                0.01562,                0.00124,                0.00037,                 4.0072,                 8.7726,                 2.6838,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1061,                0.78219,                0.96389,                0.12354,                0.01562,                0.00543,                0.00163,                 4.0968,                 9.1618,                 2.7412,              0.0010298,              0.0010298,              0.0010298
                    100,                0.98504,                0.76212,                0.95316,                0.15132,                0.01562,                0.00406,                0.00122,                 4.1635,                 9.9512,                 2.7962,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.0046,                0.79393,                0.94064,                0.07307,                0.01562,                0.00286,                0.00086,                 4.0957,                 11.209,                  2.755,                0.00101,                0.00101,                0.00101
                    102,                0.94772,                0.74723,                0.96159,                0.04067,                0.01562,                0.00154,                0.00031,                 4.0608,                 11.063,                 2.8136,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.0333,                0.76029,                0.97433,                0.09641,                0.01562,                0.00432,                 0.0013,                 3.9998,                 9.3074,                 2.7214,              0.0009902,              0.0009902,              0.0009902
                    104,                0.97551,                0.74932,                0.95282,                0.10766,                0.01562,                0.01568,                0.00627,                 4.0605,                 8.2262,                 2.6999,              0.0009803,              0.0009803,              0.0009803
